,Rk,Player,PTS,Pick,Draft Year,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Hand Length,Hand Width,Height w/shoes,Stnading Reach,Weight (lbs),Wingspan,Lane Agility t,3 Quarter Sprint,Standing Ver Leap,Max Ver Leap,Average Salary,Log_Average_Salary,3P%_missing,OBPM_missing,DBPM_missing,BPM_missing,Hand Length_missing,Hand Width_missing,Height w/shoes_missing,Stnading Reach_missing,Weight (lbs)_missing,Wingspan_missing,Lane Agility t_missing,3 Quarter Sprint_missing,Standing Ver Leap_missing,Draft Team_ATL,Draft Team_BOS,Draft Team_CHA,Draft Team_CHI,Draft Team_CLE,Draft Team_DAL,Draft Team_DEN,Draft Team_DET,Draft Team_GSW,Draft Team_HOU,Draft Team_IND,Draft Team_LAC,Draft Team_LAL,Draft Team_MEM,Draft Team_MIA,Draft Team_MIL,Draft Team_MIN,Draft Team_NJN,Draft Team_NOH,Draft Team_NYK,Draft Team_OKC,Draft Team_ORL,Draft Team_PHI,Draft Team_PHO,Draft Team_POR,Draft Team_SAC,Draft Team_SAS,Draft Team_TOR,Draft Team_UTA,Draft Team_WAS,Draft College_Alabama,Draft College_Arizona,Draft College_Arizona State,Draft College_Arkansas,Draft College_Auburn,Draft College_Baylor,Draft College_Belmont,Draft College_Boise State,Draft College_Boston College,Draft College_Bowling Green,Draft College_Brigham Young,Draft College_Bucknell,Draft College_Butler,Draft College_California,Draft College_Cincinnati,Draft College_Clemson,Draft College_Cleveland State,Draft College_College of Charleston,Draft College_Colorado,Draft College_Colorado State,Draft College_Connecticut,Draft College_Creighton,Draft College_Dayton,Draft College_DePaul,Draft College_Detroit Mercy,Draft College_Duke,Draft College_Eastern Michigan,Draft College_Eastern Washington,Draft College_Florida,Draft College_Florida State,Draft College_Fresno State,Draft College_Furman,Draft College_Georgetown,Draft College_Georgia,Draft College_Georgia State,Draft College_Georgia Tech,Draft College_Gonzaga,Draft College_Green Bay,Draft College_Hofstra,Draft College_Houston,Draft College_Illinois,Draft College_Indiana,Draft College_Iowa,Draft College_Iowa State,Draft College_Kansas,Draft College_Kansas State,Draft College_Kentucky,Draft College_Lehigh,Draft College_Long Beach State,Draft College_Louisiana State,Draft College_Louisiana Tech,Draft College_Louisiana–Lafayette,Draft College_Louisville,Draft College_Loyola (MD),Draft College_Marquette,Draft College_Marshall,Draft College_Maryland,Draft College_Massachusetts,Draft College_Memphis,Draft College_Miami (FL),Draft College_Michigan,Draft College_Michigan State,Draft College_Milwaukee,Draft College_Minnesota,Draft College_Mississippi State,Draft College_Missouri,Draft College_Missouri State,Draft College_Morehead State,Draft College_Murray State,Draft College_NC State,Draft College_Nebraska,Draft College_Nevada,Draft College_New Mexico,Draft College_New Mexico State,Draft College_Norfolk State,Draft College_North Carolina,Draft College_North Texas,Draft College_Notre Dame,Draft College_Oakland,Draft College_Ohio,Draft College_Ohio State,Draft College_Oklahoma,Draft College_Oklahoma State,Draft College_Ole Miss,Draft College_Oregon,Draft College_Oregon State,Draft College_Penn State,Draft College_Pepperdine,Draft College_Pittsburgh,Draft College_Providence,Draft College_Purdue,Draft College_Richmond,Draft College_Rutgers,Draft College_SMU,Draft College_Saint Joseph's,Draft College_San Diego State,Draft College_Santa Clara,Draft College_Seton Hall,Draft College_South Carolina,Draft College_South Dakota State,Draft College_South Florida,Draft College_Southern California,Draft College_St. Bonaventure,Draft College_St. John's (NY),Draft College_Stanford,Draft College_Syracuse,Draft College_TCU,Draft College_Temple,Draft College_Tennessee,Draft College_Tennessee Tech,Draft College_Texas,Draft College_Texas A&M,Draft College_Texas Tech,Draft College_Toledo,Draft College_Tulane,Draft College_Tulsa,Draft College_UC Santa Barbara,Draft College_UCF,Draft College_UCLA,Draft College_UNLV,Draft College_UT Arlington,Draft College_UTEP,Draft College_Utah,Draft College_Utah State,Draft College_VCU,Draft College_Valparaiso,Draft College_Vanderbilt,Draft College_Villanova,Draft College_Virginia,Draft College_Virginia Tech,Draft College_Wake Forest,Draft College_Washington,Draft College_Washington State,Draft College_Weber State,Draft College_West Virginia,Draft College_Western Kentucky,Draft College_Wichita State,Draft College_William & Mary,Draft College_Wisconsin,Draft College_Wyoming,Draft College_Xavier,Draft College_Yale,Pos_C,Pos_F,Pos_G,From_Year,To_Year,Total_Years_Played,Round_1,Round_2,Year 1
0,521,Paul George,487.0,10,2010,29.0,29.0,962.0,154.0,363.0,95.0,196.0,59.0,167.0,120.0,132.0,55.0,155.0,210.0,88.0,64.0,24.0,94.0,84.0,487.0,0.424,0.485,0.353,0.909,0.572,0.506,4.2,108.0,95.0,2.3,1.8,0.2,5.62,3.74,9.38,24.3,6.7,18.8,12.8,22.4,4.0,2.9,18.1,27.9,8.5,9.0,80.75,107.0,214.4,83.25,11.09,3.24,32.3,38.0,20556781.21428572,16.83870143056971,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2009,2009,1,1,0,2238360.0
1,275,Kawhi Leonard,990.0,15,2011,70.0,69.0,2236.0,377.0,840.0,336.0,676.0,41.0,164.0,195.0,262.0,230.0,486.0,716.0,156.0,98.0,45.0,153.0,174.0,990.0,0.449,0.497,0.25,0.744,0.513,0.473,11.8,111.0,88.0,6.1,5.7,0.2,5.3,3.9,9.2,25.0,12.6,25.0,19.0,14.4,2.7,2.2,13.7,26.0,9.75,11.25,79.0,106.0,227.4,87.0,11.45,3.15,25.5,32.0,18599800.92857143,16.73866143586118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2009,2010,2,1,0,1731960.0
2,426,John Wall,616.0,1,2010,37.0,37.0,1288.0,202.0,438.0,165.0,324.0,37.0,114.0,175.0,232.0,30.0,129.0,159.0,241.0,66.0,19.0,149.0,72.0,616.0,0.461,0.509,0.325,0.754,0.562,0.503,6.3,112.0,94.0,3.7,2.6,0.2,5.38,3.1,8.48,22.3,2.7,10.1,6.6,34.8,2.9,1.5,21.4,25.7,8.25,9.5,76.0,101.5,195.6,81.25,10.84,3.14,30.0,39.0,18465501.14285714,16.73141474604983,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009,2009,1,1,0,5144280.0
3,657,Kyrie Irving,192.0,1,2011,11.0,8.0,303.0,55.0,104.0,37.0,65.0,18.0,39.0,64.0,71.0,6.0,31.0,37.0,47.0,16.0,6.0,27.0,23.0,192.0,0.529,0.569,0.462,0.901,0.697,0.615,2.4,135.0,93.0,1.8,0.6,0.3,9.8,5.0,14.8,32.5,2.3,10.6,6.7,29.8,3.0,1.8,16.4,26.4,8.25,9.25,75.5,99.0,191.0,76.0,11.05,3.23,29.5,37.0,18281611.42857143,16.721406272652743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2010,2010,1,1,0,5144280.0
4,77,Damian Lillard,1578.0,6,2012,73.0,72.0,2452.0,465.0,1036.0,268.0,537.0,197.0,499.0,451.0,518.0,34.0,290.0,324.0,273.0,96.0,13.0,176.0,143.0,1578.0,0.449,0.499,0.395,0.871,0.615,0.544,15.0,124.0,103.0,12.2,2.7,0.2,8.5,0.7,9.2,29.3,1.7,14.2,8.0,25.5,2.3,0.6,12.1,30.8,8.75,9.75,74.75,95.5,188.8,79.75,11.15,3.34,34.5,39.5,18218430.71428572,16.71794431624508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009,2011,3,1,0,3065040.0
5,125,Klay Thompson,1342.0,11,2011,65.0,63.0,2275.0,440.0,1036.0,266.0,581.0,174.0,455.0,288.0,351.0,62.0,275.0,337.0,197.0,100.0,54.0,219.0,174.0,1342.0,0.425,0.458,0.382,0.821,0.558,0.509,9.5,108.0,100.0,6.2,3.3,0.2,6.8,3.0,9.8,23.6,3.3,13.8,8.7,20.3,2.6,2.7,15.4,31.9,8.75,9.25,79.25,103.5,205.6,81.0,10.99,3.24,26.5,31.5,17980472.214285713,16.704796849971313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009,2010,2,1,0,2126520.0
6,467,Bradley Beal,546.0,3,2012,37.0,37.0,1267.0,175.0,393.0,112.0,207.0,63.0,186.0,133.0,173.0,50.00000000000001,199.0,249.0,83.0,51.0,31.0,79.0,76.0,546.0,0.445,0.541,0.339,0.769,0.575,0.525,5.7,115.0,97.0,3.6,2.1,0.2,5.4,2.9,8.4,22.0,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23.0,8.5,9.0,76.75,100.0,201.8,80.0,10.95,3.28,33.0,39.0,17556668.35714286,16.68094439907831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011,2011,1,1,0,4133280.0
7,224,Jimmy Butler,1081.0,30,2011,71.0,69.0,2447.0,335.0,661.0,299.0,571.0,35.99999999999999,90.0,375.0,484.0,172.0,269.0,441.0,154.0,98.0,34.0,93.0,117.0,1081.0,0.507,0.524,0.4,0.775,0.607,0.534,13.2,131.0,101.0,10.0,3.2,0.2,7.2,2.2,9.4,24.7,8.5,13.2,10.9,12.5,2.4,1.5,9.5,20.7,9.0,9.0,79.75,101.5,222.2,79.5,11.12,3.15,32.0,39.0,17513405.0,16.678477145665475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009,2010,2,1,0,1020960.0
8,455,Anthony Davis,567.0,1,2012,40.0,40.0,1281.0,210.0,337.0,207.0,317.0,3.0,20.0,144.0,203.0,119.0,296.0,415.0,50.0,54.0,186.0,41.0,78.0,567.0,0.623,0.653,0.15,0.709,0.654,0.628,9.9,139.0,81.0,5.9,4.1,0.3,9.1,8.1,17.2,35.1,11.6,25.6,19.0,7.5,2.5,13.7,8.6,18.8,9.0,8.5,82.5,108.0,221.8,89.5,11.42,3.34,27.3,31.3,17466157.285714287,16.675775697166287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2011,2011,1,1,0,5144280.0
9,451,Gordon Hayward,572.0,9,2010,37.0,37.0,1239.0,173.0,373.0,126.0,213.0,47.0,160.0,179.0,216.0,72.0,233.0,305.0,62.0,40.0,30.0,85.0,78.0,572.0,0.464,0.592,0.294,0.829,0.601,0.527,6.9,117.0,90.0,4.0,3.0,0.2,5.86,3.1,8.94,24.3,7.6,23.4,15.8,12.1,2.0,2.8,15.2,24.7,8.5,9.25,80.0,103.0,211.0,79.75,11.73,3.22,30.5,34.5,17358162.5,16.66957341482012,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2009,2009,1,1,0,2356320.0
